,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),176.77,256.9,254.28,316.02,437.85,665.41,559.13,1116.25,231.84,346.1,344.26
Market Cap (B),,,99.16919803619385,128.82163711693346,178.20494937896729,274.8143315124512,233.71633247375487,462.1275,1086.4022228393555,,1632.230834176
Enterprise Value (B),,,113.56519803619385,143.21763711693347,214.9749493789673,307.1513315124512,260.77833247375486,487.1225,1144.5942228393556,,169.299836928
Trailing P/E,,63.90547396531746,8.940928092988734,49.147743830228485,69.17061587268896,44.36066691080729,21.07538567639008,33.84627046694967,188.4878019007241,72.55765327117729,72.17191
P/S,,,4.756772737729943,5.700829186039451,7.4600196491530175,10.011451056919897,7.03901251313902,12.901742092185712,21.064920751528977,,25.548716
P/B,,,3.7201934964997503,4.832563196043571,6.685108953706992,11.018577102459853,9.789575792651206,18.513240124989984,47.84016129461251,,5.813141
EV/Revenue,,,5.447294610331631,6.337904904055117,8.999286226514036,11.189483843805142,7.854059346256509,13.599556101510371,22.193241223084414,,2.65
EV/EBITDA,,,20.10003505065378,35.68842190803226,46.8968039657433,33.90939848889945,17.67509370162362,29.153300616434258,81.43100617809871,,4.837
Dividend Yield (%),1.0974712875353143,1.5881665687749142,2.7528709055443104,3.3542181635820976,2.9690533391125173,2.16407927755054,2.933128347275346,1.6483762597984322,0.9079537755565306,0.6818838365735663,76.0
SBC/Revenue (%),5.128398791540786,5.222272624177818,5.8854566385264775,9.669425144930743,8.271935699933021,6.207650273224044,4.6170526759630155,6.061029062787906,11.131577926862372,11.845915444456619,
FCF Yield (%),,,8.31407348579225,7.192114777729467,6.508236746744846,4.847272675586956,6.979400980387947,3.8156136564043472,1.7869992892007105,,
Adjusted FCF Yield (%),,,7.076794144728926,5.495971141535307,5.399401101670883,4.22721767677304,6.323477629300727,3.345829884609767,1.2585578078315296,,
Shareholder Yield (%),,,10.264275804958071,7.506502957435936,2.9376288471468586,2.151634511729275,5.875926536517144,2.9145636215113795,1.5638775071350606,,
Forward P/E,,,,,,,,,,,23.868904
PEG Ratio,,,,,,,,,,,
Beta,,,,,,,,,,,1.221
52-Week High ($),,,,,,,,,,,414.61
52-Week Low ($),,,,,,,,,,,138.1
Forward EPS ($),,,,,,,,,,,14.42295
Trailing EPS ($),,,,,,,,,,,4.77
Revenue Growth (%),,,,,,,,,,,16.400000000000002
Earnings Growth (%),,,,,,,,,,,188.1
Analyst Target Mean ($),,,,,,,,,,,458.5886
Analyst Target High ($),,,,,,,,,,,535.0
Analyst Target Low ($),,,,,,,,,,,370.0
Analyst Recommendation,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,45.0
Short Ratio,,,,,,,,,,,2.18
Debt/Equity,,,,,,,,,,,166.032
