,Current,2021,2022,2023,2024
Price ($),57.61,,,,
Market Cap (B),14.658,,,,
Enterprise Value (B),12.885,,,,
Trailing P/E,,,,,
Forward P/E,50.134453,,,,
P/S,6.08,,,,
P/B,4.46,,,,
EV/Revenue,5.34,,,,
EV/EBITDA,-90.15,,,,
Dividend Yield (%),,,,,
Beta,,,,,
52-Week High ($),298.99,,,,
52-Week Low ($),49.9,,,,
Forward EPS ($),1.14911,,,,
Trailing EPS ($),-0.85,,,,
Revenue Growth (%),66.0,,,,
Analyst Target Mean ($),133.5225,,,,
Analyst Target High ($),280.0,,,,
Analyst Target Low ($),60.0,,,,
Analyst Recommendation,buy,,,,
Number of Analysts,20,,,,
Short Ratio,2.31,,,,
Debt/Equity,5.429,,,,
Shares Outstanding (M),216.5,,,,
SBC/Revenue (%),,21.66,8.97,7.45,2.99
