,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3
Revenue (M),,445.762,435.367,578.573,658.078,739.759
Gross Margin (%),,27.55,14.11,26.84,-38.33,22.01
Operating Income (M),,65.084,-3.298,99.21,-326.275,79.349
Operating Margin (%),,14.6,-0.76,17.15,-49.58,10.73
Net Income (M),,70.996,3.109,64.791,-482.1,214.385
Net Profit Margin (%),,15.93,0.71,11.2,-73.26,28.98
D&A (M),,13.122,13.507,13.88,14.209,23.002
EBITDA (M),,78.206,10.209,113.09,-312.066,102.351
SBC (M),,12.763,11.142,12.716,431.14,59.62
Interest Expense (M),,0.548,0.357,0.335,0.344,0.354
Income Tax (M),,15.168,5.934,25.046,-3.903,-61.294
EPS Diluted ($),0.0,0.0,,0.29,-4.48,0.64
Cash from Operations (M),,113.242,106.379,56.593,247.123,-10.682
CapEx (M),,9.543,11.649,11.675,13.183,15.646
Free Cash Flow (M),,103.699,94.73,44.918,233.94,-26.328
Cash (B),,,0.750981,0.848606,1.118119,1.348901
Total Cash (B),,,0.765309,0.850796,1.118651,1.349438
Total Debt (B),,,0.040717,0.037414,0.20614,0.149094
Total Assets (B),,,45.834409,62.262397,64.153508,76.781008
Accounts Receivable (B),,,0.145307,0.199092,0.201112,0.243683
Stockholders Equity (B),,,0.570529,0.744976,2.370831,3.023356
Shares Outstanding (M),,,222.54,227.5,233.525,239.17
