,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),11.46,11.38,12.6,8.09,11.87,27.47,49.19,50.69,49.19,56.0,49.9,58.48,40.21,39.08,32.86,40.23,60.5,69.4,71.21
Market Cap (B),5.363280017852783e-06,9.41126009464264e-06,1.062180032157898e-05,6.82796012878418,10.089499902725219,23.569259410858155,41.56554883956909,40.754758895874026,37.13844896316528,40.488,34.63060105895996,38.18743970108032,25.57355941772461,25.050281173706054,21.063260391235353,25.86788970565796,39.204,45.38760099792481,46.497476608
Enterprise Value (B),5.363280017852783e-06,9.41126009464264e-06,8.298010621800321,17.10796012878418,20.81049990272522,33.20625941085815,49.63754883956909,47.27175889587402,43.06744896316528,48.311,43.59360105895996,48.78243970108032,52.10855941772461,43.32928117370606,36.56626039123535,43.83688970565796,53.611,45.38760099792481,65.388539904
Trailing P/E,,,18.00000054495675,8.00990114117613,9.974789819797548,2.2351504730150116,63.06410080347305,9.003552153944758,8.495681973524867,11.313131313131313,8.800705736486579,8.010958841402237,,88.81818597966975,15.951456606966778,5.610878597243561,11.350844277673545,9.06005241852205,9.296345
P/S,2.3629907114829197e-07,3.353618677490874e-07,3.344922160786956e-07,0.19444568215247557,0.2751431661501287,0.623971074864537,1.0298188603034808,1.001247024761056,0.9414055503970921,0.9841995235548641,0.7793015225473685,0.8123777246171915,1.4959672078224397,0.8378300670158217,0.416418101127582,0.445629301709929,0.6359846211248641,0.7162994917922607,0.7338153
P/B,,,1.2153089612790594e-05,27.869225015445632,11.248048943952307,,,3.5003657902494223,4.214052985721693,3.7316129032258063,3.070360941480624,3.047680742304894,1.868456156770995,1.6310900620983237,13.730938977337257,6.654975483832765,5.956244302643573,,2.2269132
EV/Revenue,2.3629907114829197e-07,3.353618677490874e-07,0.26131351351914095,0.48719806717312203,0.5675074966655363,0.8791004000438979,1.2298089499918015,1.1613541395409301,1.0916970586353685,1.1743643346783996,0.9809982685755426,1.0377696875163342,3.0481754558481784,1.449188306421822,0.7229105292640732,0.7551834637826964,0.8697013448404523,0.7162994917922607,1.032
EV/EBITDA,,7.765066084688646e-06,2.2258612182940776,4.890783341562087,5.564304786824925,6.565096759758433,12.481153844498138,4.905235954744633,4.864179914520587,5.786441489998802,5.741288167912546,5.303015512673151,,11.155839643075709,6.339504228716254,5.575793653734159,6.30124588622473,5.491542770468821,7.94
Dividend Yield (%),,,,0.0,0.0,0.4368402002167587,0.6098800739488275,0.8877490869823997,1.382394834284009,1.8214285714285714,2.6252504207251657,2.5820793635769856,0.9947774412023365,0.0,0.0,0.49714144239555785,0.8264462809917356,0.9726224570013822,101.0
SBC/Revenue (%),0.23791690531788343,0.38484837686633644,0.28027082349236343,0.20504058094831268,0.14725934005999455,0.23826542768644268,0.20068381150587186,0.18671383647798742,0.3903675538656527,0.410812387573533,0.35780188127278456,0.3425021805263046,0.6961099736765136,0.4983444262349911,0.29654817919417975,0.31008820286659317,0.38284963418393003,0.49397134019316963,
FCF Yield (%),,,,,5.034937359608745,8.214089234845034,6.490952424118094,12.224339279564166,10.269680362211162,3.1046235921754595,5.330545654859159,9.13651197176567,-22.25736318916548,0.06786350972317227,-0.014242809253064792,4.410873917366497,7.358942965003572,8.467070114976352,
Adjusted FCF Yield (%),,,,,4.4997274827999405,7.832235912977239,6.29607950108119,12.0378579898719,9.85501576447112,2.687215965224264,4.871414149375624,8.714907378055646,-22.722687542558088,-0.5269401931446317,-0.7263832719063044,3.7150305298766026,6.756963575145393,7.777454464185929,
Shareholder Yield (%),,,,0.0,0.0,1.4934707699718246,3.250287889171069,6.27902132003306,8.3740707725424,5.94744121715076,7.172846915855986,7.874316852708333,2.3618143651187546,0.0,0.0,,,,
Forward P/E,,,,,,,,,,,,,,,,,,,8.539208
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,1.338
52-Week High ($),,,,,,,,,,,,,,,,,,,76.38
52-Week Low ($),,,,,,,,,,,,,,,,,,,34.74
Forward EPS ($),,,,,,,,,,,,,,,,,,,8.33918
Trailing EPS ($),,,,,,,,,,,,,,,,,,,7.66
Revenue Growth (%),,,,,,,,,,,,,,,,,,,2.9000000000000004
Earnings Growth (%),,,,,,,,,,,,,,,,,,,44.4
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,81.288
Analyst Target High ($),,,,,,,,,,,,,,,,,,,90.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,32.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,,,,,,25.0
Short Ratio,,,,,,,,,,,,,,,,,,,2.05
Debt/Equity,,,,,,,,,,,,,,,,,,,102.992
