,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Revenue (M),3246.1000000000004,3522.0185000000006,3768.559795000001,3975.830583725001,4134.863807074001,4300.258359356962,4456.142724883651,4600.96736344237,4733.245175141337,4851.576304519871
Free Cash Flow (M),319.73788619785614,346.91560652467393,371.1996989814011,391.6156824253782,407.28030972239327,423.5715221112891,438.92598978782326,453.1910844559275,466.2203281340354,477.8758363373863
Growth Rate (%),10.0,8.5,7.000000000000001,5.5,4.0,4.0,3.6250000000000004,3.25,2.875,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),298.8204543905197,303.00952618104105,303.00952618104105,298.76172908504515,290.3852320078943,282.24358998898134,273.3410468468055,263.761337261053,253.59296795075534,242.9278431303965
Revenue Tag,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,,,,,,,,,,
Base Start,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01
Base End,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31,2024-12-31
