,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),,,,,,,,,,,,,,27.7,89.78
Market Cap (B),,,,,,,,,,,,,,7.783844974589973,22.607251456
Enterprise Value (B),,,,,,,,,,,,,,7.783844974589973,22.887585792
Trailing P/E,,,,,,,,,,,,,,,
P/S,,,,,,,,,,,,,,66.24548914544658,62.2275
P/B,,,,,,,,,,,,,,,4.6992936
EV/Revenue,,,,,,,,,,,,,,66.24548914544658,62.999
EV/EBITDA,,,,,,,,,,,,,,,-81.018
Dividend Yield (%),,,,,,,,,,,,,,,
SBC/Revenue (%),1.4304082288653166,1.3092598458452116,1.9139945314441957,2.382535460992908,4.546562652364701,4.505872014060877,4.458325678241166,5.137135393992163,5.619492896960978,7.203275138719718,5.848733886779859,1.3414946542449206,1.0884185983948347,48.17021276595745,
FCF Yield (%),,,,,,,,,,,,,,-7.221366841643831,
Adjusted FCF Yield (%),,,,,,,,,,,,,,-7.948513903086707,
Shareholder Yield (%),,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,-45.29768
PEG Ratio,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,1.154
52-Week High ($),,,,,,,,,,,,,,,141.1
52-Week Low ($),,,,,,,,,,,,,,,18.31
Forward EPS ($),,,,,,,,,,,,,,,-1.982
Trailing EPS ($),,,,,,,,,,,,,,,-0.19
Revenue Growth (%),,,,,,,,,,,,,,,355.1
Earnings Growth (%),,,,,,,,,,,,,,,
Analyst Target Mean ($),,,,,,,,,,,,,,,144.6
Analyst Target High ($),,,,,,,,,,,,,,,211.0
Analyst Target Low ($),,,,,,,,,,,,,,,70.0
Analyst Recommendation,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,10.0
Short Ratio,,,,,,,,,,,,,,,3.05
Debt/Equity,,,,,,,,,,,,,,,94.974
