,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),111.943,116.744,204.242,413.256,2013.496,3198.356,4046.025,7000.132,11758.751,21461.268,24578.0,31536.0,53823.0,81462.0,96773.0,97690.0,94827.0
Gross Margin (%),8.517727772169765,26.323408483519493,30.15785195992989,7.275635441469694,22.660189044328867,27.566380978227567,22.824945471172324,22.846097759299397,18.90070637604283,18.834026954977684,16.55545609895028,21.02359208523592,25.279155751258752,25.598438535759005,18.248891736331416,17.862626676220696,18.026511436616154
Operating Income (M),-51.897,-146.838,-251.488,-394.283,-61.283,-186.689,-716.629,-667.34,-1632.086,-388.073,-69.0,1994.0,6523.0,13656.0,8891.0,7076.0,4355.0
Operating Margin (%),-46.360201173811674,-125.77777016377716,-123.1323625894772,-95.40889908434481,-3.043611708193113,-5.837030024174919,-17.711927138364196,-9.533248801594027,-13.879756446921956,-1.8082482358451513,-0.2807388721620962,6.322932521562659,12.119354179440016,16.763644398615305,9.18747997891974,7.243320708363189,4.592573845001951
Net Income (M),-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-674.914,-1961.4,-976.091,-862.0,721.0,5519.0,12556.0,14997.0,7091.0,3794.0
Net Profit Margin (%),-49.793198324147106,-132.19351743986843,-124.5635079954172,-95.8759219466868,-3.675895060134214,-9.193473146829184,-21.963853411681836,-9.641446761289645,-16.680343005817537,-4.548151581723876,-3.507201562372854,2.2862760020294264,10.253980640246734,15.413321548697553,15.497091130790613,7.2586754017811455,4.000970187815707
D&A (M),6.94,10.0,14.6,25.3,83.9,155.9,278.7,477.3,769.3,1110.0,1370.0,1570.0,1910.0,2420.0,3330.0,4120.0,5030.0
EBITDA (M),-44.957,-136.838,-236.888,-368.983,22.617,-30.789,-437.929,-190.04,-862.786,721.927,1301.0,3564.0,8433.0,16076.0,12221.0,11196.0,9385.0
R&D Expense (M),19.282,92.996,208.981,273.978,231.976,464.7,717.9,834.408,1378.073,1460.37,1343.0,1491.0,2593.0,3075.0,3969.0,4540.0,6411.0
SBC (M),1.434,21.156,29.419,50.145,80.737,156.496,197.999,334.225,466.76,749.024,898.0,1734.0,2121.0,1560.0,1812.0,1999.0,2825.0
Interest Expense (M),2.531,0.992,0.043,0.254,32.934,100.886,118.851,198.81,471.259,663.071,685.0,748.0,371.0,191.0,156.0,,
Income Tax (M),0.026,0.173,0.489,0.136,2.588,9.404,13.039,26.698,31.546,57.837,110.0,292.0,699.0,1132.0,-5001.0,1837.0,1423.0
Effective Tax Rate (%),-0.046666905984133256,-0.1122247088968895,-0.19257882341821503,-0.0343367577516493,-3.623330439895836,-3.3038688008544246,-1.4891094807817054,-3.577151677233677,-1.4280463116876534,-5.756385948673544,-16.541353383458645,25.30329289428076,11.020022071574964,8.251330271885706,-50.14539255991176,20.433815350389324,26.960970064418337
EPS Diluted ($),,,,-3.69,-0.62,-2.36,-6.93,-4.68,-11.83,-5.72,-4.92,0.64,4.9,3.62,4.3,2.04,1.08
Dividends Per Share ($),,,,,,,,,,,,,,,,,
Cash from Operations (M),-80.825,-127.817,-114.364,-266.081,257.994,-57.337,-524.499,-123.829,-60.654,2097.802,2405.0,5943.0,11497.0,14724.0,13256.0,14923.0,14747.0
CapEx (M),11.884,40.203,197.896,239.228,264.224,969.885,1634.85,1280.802,3414.814,2100.724,1327.0,3157.0,6482.0,7158.0,8898.0,11339.0,8527.0
Free Cash Flow (M),-92.709,-168.02,-312.26,-505.309,-6.23,-1027.222,-2159.349,-1404.631,-3475.468,-2.922,1078.0,2786.0,5015.0,7566.0,4358.0,3584.0,6220.0
FCF to Profit Margin (%),150.0,108.87201285573585,122.73840360676229,127.53468462670332,,150.0,150.0,150.0,150.0,,,,90.86791085341548,60.25804396304556,29.05914516236581,50.54294175715695,
Buyback (M),,,,,,,,,,,,,,,,,
Dividends Paid (M),,,,,,,,,,,,,,,,,
Cash (B),,,0.009277,0.099558,0.255266,0.20189,0.845889,1.905713,1.196908,3.393216,3.686,6.268,19.384,17.576,16.253,16.398,
Total Cash (B),,,0.034338,0.099558,0.255266,0.20189,0.845889,1.905713,1.196908,3.393216,3.686,6.268,19.515,17.576,16.253,16.398,
Total Debt (B),,,0.079744,0.452336,0.0,,2.040375,0.007006668,9.628834,10.632475,11.801,10.22,5.342,2.045,4.657,7.878,
Total Assets (B),,,0.386082,1.11419,2.41693,5.849251,8.09246,22.664076,28.655372,29.739614,34.309,52.148,62.131,82.338,106.618,122.07,
Accounts Receivable (B),,,0.00671,0.026842,0.049109,0.226604,0.168965,0.499142,0.515381,0.949022,1.324,1.886,1.913,2.952,3.508,4.418,
Stockholders Equity (B),,,-0.199714,0.207048,0.224045,0.1247,0.66712,4.752911,4.237242,4.923243,6.618,22.225,30.189,44.704,62.634,72.913,
Shares Outstanding (M),,,94.90837,114.214274,123.09099,125.687607,128.202,144.212,165.758,170.525,177.0,1083.0,1129.0,3475.0,3485.0,3498.0,3528.0
ROE (%),,,127.38766436003486,-191.36287237741973,-33.03532772434109,-235.7979149959904,-133.20886796978056,-14.20001342335255,-46.289544000555075,-19.826179613722093,-13.025083106678755,3.2440944881889764,18.28149325913412,28.08697208303508,23.94386435482326,9.725289043106168,
ROA (%),,,-65.89558694785046,-35.56063149014082,-3.062314589168904,-5.026968410143453,-10.981370312611986,-2.977902121401287,-6.844789870464776,-3.2821239710777683,-2.5124602873881487,1.3826033596686353,8.882844312822906,15.24933809419709,14.06610516047947,5.8089620709429015,
ROIC (%),,,163.29180122316276,-70.45374527059585,203.39990901470603,249.84707815212738,-39.06843823994074,-24.217316009338514,-13.066311409925028,-3.3744042109312358,-0.5458055646140396,5.689927568812475,36.23978496672805,42.94792560954063,26.155858091033647,8.743346677133308,
Revenue Tag,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
Net Income Tag,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Gross Profit Tag,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit,GrossProfit
Operating Income Tag,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss
D&A Tag,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,Depreciation,Depreciation,Depreciation,Depreciation,Depreciation,Depreciation,Depreciation,Depreciation
R&D Tag,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense
SBC Tag,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation
Interest Expense Tag,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,,
Income Tax Tag,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit
EPS Tag,,,,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted
DPS Tag,,,,,,,,,,,,,,,,,
Buyback Tag,,,,,,,,,,,,,,,,,
Dividends Paid Tag,,,,,,,,,,,,,,,,,
Cash Tag,,,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,
MS Current Tag,,,MarketableSecuritiesCurrent,,,,,,,,,,MarketableSecuritiesCurrent,,,,
MS Noncurrent Tag,,,,,,,,,,,,,,,,,
LT Debt Tag,,,LongTermDebtNoncurrent,LongTermDebtNoncurrent,LongTermDebtNoncurrent,,LongTermDebtAndCapitalLeaseObligations,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,
ST Debt Tag,,,LongTermDebtCurrent,LongTermDebtCurrent,,,,DebtCurrent,DebtCurrent,DebtCurrent,DebtCurrent,DebtCurrent,DebtCurrent,DebtCurrent,DebtCurrent,DebtCurrent,
Assets Tag,,,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,
AR Tag,,,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,
Equity Tag,,,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,
Shares Tag,,,CommonStockSharesOutstanding,CommonStockSharesOutstanding,CommonStockSharesOutstanding,CommonStockSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding
Start,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01
End,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31
