,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),,52.45,87.46,70.38,101.53,151.58,222.68,262.2,77.55,78.02,114.02,131.94,187.9,218.73,216.71,207.76,260.35,316.04,350.71,331.58
Market Cap (B),,,,,,,,,,,,,,,,,,,,639.299354624
Enterprise Value (B),,,,,,,,,,,,,,,,,,,,637.411131392
Trailing P/E,,,,,,,,,,,,,,,,,,,,31.163532
P/S,,,,,,,,,,,,,,,,,,,,15.445371
P/B,,,,,,,,,,,,,,,,,,,,16.550863
EV/Revenue,,,,,,,,,,,,,,,,,,,,15.4
EV/EBITDA,,,,,,,,,,,,,,,,,,,,21.99
Dividend Yield (%),,0.20019065485732415,0.12005488348860655,0.17760728172510612,0.14773958613558724,0.1451378792337024,0.14819472375341555,0.15255529419432784,0.154738872053829,0.17944117665178305,0.1447114583913941,,0.13304949873373972,0.13715539974393584,0.1476627705625572,0.1804967317650085,0.17284424407544635,0.16453613021785732,0.16823016577090366,81.0
SBC/Revenue (%),0.0,1.181542391825004,1.6640138908985673,1.6243025418474892,1.6760992599042228,1.4106131849150754,1.5197826456104602,1.3541174618170366,1.3472622478386167,1.4653229014719533,1.280095871009914,1.5866854286962007,1.7713365539452495,1.9042387622448045,2.2484961626218625,2.0539065165472534,2.342816892781674,2.3659745031453543,2.2425,
FCF Yield (%),,,,,,,,,,,,,,,,,,,,
Adjusted FCF Yield (%),,,,,,,,,,,,,,,,,,,,
Shareholder Yield (%),,,,,,,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,,,,,,22.816477
PEG Ratio,,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,,0.78
52-Week High ($),,,,,,,,,,,,,,,,,,,,375.51
52-Week Low ($),,,,,,,,,,,,,,,,,,,,299.0
Forward EPS ($),,,,,,,,,,,,,,,,,,,,14.53248
Trailing EPS ($),,,,,,,,,,,,,,,,,,,,10.64
Revenue Growth (%),,,,,,,,,,,,,,,,,,,,14.6
Earnings Growth (%),,,,,,,,,,,,,,,,,,,,17.4
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,,400.45972
Analyst Target High ($),,,,,,,,,,,,,,,,,,,,450.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,,323.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,,,,,,,37.0
Short Ratio,,,,,,,,,,,,,,,,,,,,3.05
Debt/Equity,,,,,,,,,,,,,,,,,,,,54.612
